"","ID2","ID1","SerialNumber","CoHours","Sex1","Sex2"
"1","LU199","U10",2,1,"M","M"
"2","LU199","U6",209,18,"F","M"
"3","U1","U106",260,20,"M","M"
"4","U1","U112",267,9,"M","M"
"5","U1","U65",466,31,"F","M"
"6","U1","U204",368,19,"F","M"
"7","U1","U114",269,18,"F","M"
"8","U1","U128",284,36,"M","M"
"9","U1","U201",365,2,"M","M"
"10","U1","U207",371,26,"M","M"
"11","U1","U246",414,151,"F","M"
"12","U1","U104",258,3,"M","M"
"13","U1","U166",326,10,"F","M"
"14","U1","U155",314,29,"M","M"
"15","U1","U205",369,19,"M","M"
"16","U10","U26",673,42,"F","M"
"17","U10","U70",722,1,"M","M"
"18","U10","U134",541,15,"F","M"
"19","U10","U61",712,12,"M","M"
"20","U10","U165",575,80,"F","M"
"21","U10","U164",574,11,"M","M"
"22","U10","U38",686,2,"M","M"
"23","U10","U83",736,2,"M","M"
"24","U10","U60",711,63,"M","M"
"25","U10","U72",724,9,"F","M"
"26","U10","U6",710,77,"F","M"
"27","U10","U45",694,103,"F","M"
"28","U100","U36",933,1,"M","M"
"29","U100","U24",906,42,"F","M"
"30","U100","U198",860,44,"F","M"
"31","U100","U230",896,8,"F","M"
"32","U100","U139",795,214,"F","M"
"33","U100","U150",808,63,"F","M"
"34","U100","U149",806,37,"F","M"
"35","U100","U64",964,3,"F","M"
"36","U100","U91",994,9,"F","M"
"37","U100","U84",986,2,"F","M"
"38","U100","U4",937,6,"M","M"
"39","U100","U54",953,1,"M","M"
"40","U100","U44",942,187,"F","M"
"41","U100","U78",979,2,"M","M"
"42","U100","U5",948,33,"M","M"
"43","U101","U98",1249,1,"F","M"
"44","U101","U143",1048,5,"M","M"
"45","U101","U77",1226,9,"M","M"
"46","U101","U125",1028,6,"M","M"
"47","U101","U121",1024,12,"M","M"
"48","U102","U19",1346,93,"F","M"
"49","U102","U66",1461,4,"M","M"
"50","U102","U103",1251,5,"F","M"
"51","U102","U160",1314,5,"M","M"
"52","U104","U106",1745,4,"M","M"
"53","U104","U185",1832,67,"F","M"
"54","U104","U201",1850,2,"M","M"
"55","U104","U246",1899,8,"F","M"
"56","U104","U114",1754,24,"F","M"
"57","U104","U113",1753,2,"F","M"
"58","U104","U128",1769,5,"M","M"
"59","U104","U118",1758,2,"F","M"
"60","U104","U180",1827,27,"M","M"
"61","U104","U238",1890,46,"F","M"
"62","U104","U40",1924,1,"M","M"
"63","U104","U225",1876,5,"M","M"
"64","U104","U65",1951,12,"F","M"
"65","U104","U8",1967,1,"M","M"
"66","U104","U129",1770,30,"F","M"
"67","U104","U243",1896,4,"M","M"
"68","U104","U89",1977,4,"F","M"
"69","U105","U96",2229,1,"F","M"
"70","U105","U238",2134,10,"F","M"
"71","U105","U180",2071,1,"M","M"
"72","U105","U129",2014,29,"F","M"
"73","U105","U155",2043,29,"M","M"
"74","U105","U185",2076,26,"F","M"
"75","U106","U183",2317,13,"M","M"
"76","U106","U166",2298,68,"F","M"
"77","U106","U163",2295,7,"M","M"
"78","U106","U12",2247,15,"M","M"
"79","U106","U125",2253,11,"M","M"
"80","U106","U114",2241,30,"F","M"
"81","U106","U204",2340,47,"F","M"
"82","U106","U63",2436,16,"M","M"
"83","U106","U201",2337,3,"M","M"
"84","U106","U7",2443,106,"M","M"
"85","U106","U107",2233,257,"M","M"
"86","U107","U7",2685,90,"M","M"
"87","U107","U51",2665,37,"M","M"
"88","U107","U233",2614,63,"F","M"
"89","U107","U12",2489,21,"M","M"
"90","U107","U187",2563,42,"M","M"
"91","U107","U99",2717,6,"M","M"
"92","U107","U68",2683,48,"F","M"
"93","U107","U125",2495,10,"M","M"
"94","U107","U126",2496,41,"F","M"
"95","U107","U63",2678,1,"M","M"
"96","U107","U98",2716,5,"F","M"
"97","U108","U156",2770,1,"M","M"
"98","U108","U49",2903,34,"M","M"
"99","U108","U55",2910,33,"F","M"
"100","U109","U8",3177,2,"M","F"
"101","U109","U47",3141,40,"M","F"
"102","U11","U52",3386,16,"F","M"
"103","U11","U145",3237,67,"M","M"
"104","U11","U30",3362,27,"F","M"
"105","U11","U62",3397,22,"M","M"
"106","U11","U184",3280,232,"F","M"
"107","U11","U242",3344,10,"F","M"
"108","U11","U192",3289,7,"M","M"
"109","U110","U20",3535,100,"M","F"
"110","U110","U51",3623,3,"M","F"
"111","U110","U21",3546,42,"M","F"
"112","U110","U126",3454,11,"F","F"
"113","U111","U60",3870,4,"M","F"
"114","U111","U45",3853,112,"F","F"
"115","U111","U4",3847,105,"M","F"
"116","U111","U164",3733,11,"M","F"
"117","U111","U43",3851,21,"M","F"
"118","U111","U130",3696,74,"M","F"
"119","U111","U137",3703,249,"F","F"
"120","U111","U5",3858,14,"M","F"
"121","U111","U84",3896,127,"F","F"
"122","U111","U132",3698,7,"M","F"
"123","U112","U163",3968,3,"M","M"
"124","U112","U166",3971,32,"F","M"
"125","U112","U114",3914,3,"F","M"
"126","U112","U204",4013,14,"F","M"
"127","U112","U246",4059,2,"F","M"
"128","U112","U42",4086,8,"M","M"
"129","U113","U40",4319,5,"M","F"
"130","U113","U16",4199,18,"M","F"
"131","U113","U188",4230,4,"M","F"
"132","U113","U114",4149,94,"F","F"
"133","U113","U225",4271,6,"M","F"
"134","U113","U252",4301,3,"M","F"
"135","U113","U155",4194,3,"M","F"
"136","U114","U155",4428,4,"M","F"
"137","U114","U204",4482,27,"F","F"
"138","U114","U40",4553,60,"M","F"
"139","U114","U65",4580,105,"F","F"
"140","U114","U188",4464,16,"M","F"
"141","U114","U166",4440,31,"F","F"
"142","U114","U225",4505,52,"M","F"
"143","U114","U201",4479,1,"M","F"
"144","U115","U127",4630,3,"M","F"
"145","U115","U60",4808,16,"M","F"
"146","U115","U137",4641,41,"F","F"
"147","U115","U133",4637,166,"M","F"
"148","U115","U84",4834,30,"F","F"
"149","U115","U222",4735,10,"M","F"
"150","U115","U87",4837,4,"M","F"
"151","U115","U164",4671,11,"M","F"
"152","U115","U159",4665,17,"M","F"
"153","U116","U131",4867,8,"M","F"
"154","U116","U163",4902,6,"M","F"
"155","U116","U152",4890,7,"M","F"
"156","U116","U135",4871,44,"F","F"
"157","U117","U22",5195,7,"M","M"
"158","U117","U93",5307,6,"F","M"
"159","U117","U27",5234,25,"M","M"
"160","U117","U82",5295,110,"F","M"
"161","U117","U92",5306,2,"M","M"
"162","U117","U43",5252,6,"M","M"
"163","U118","U160",5360,1,"M","F"
"164","U118","U8",5522,11,"M","F"
"165","U118","U56",5496,12,"F","F"
"166","U118","U89",5532,6,"F","F"
"167","U119","U69",5739,30,"F","M"
"168","U119","U60",5730,12,"M","M"
"169","U119","U4",5707,22,"M","M"
"170","U119","U26",5692,154,"F","M"
"171","U119","U171",5601,3,"M","M"
"172","U119","U7",5740,1,"M","M"
"173","U119","U29",5695,2,"F","M"
"174","U119","U208",5641,21,"F","M"
"175","U119","U63",5733,26,"M","M"
"176","U119","U77",5748,49,"M","M"
"177","U119","U50",5719,3,"M","M"
"178","U119","U127",5552,8,"M","M"
"179","U12","U98",5999,54,"F","M"
"180","U12","U50",5947,7,"M","M"
"181","U12","U26",5920,94,"F","M"
"182","U12","U69",5967,201,"F","M"
"183","U12","U208",5869,79,"F","M"
"184","U12","U99",6000,28,"M","M"
"185","U12","U51",5948,5,"M","M"
"186","U12","U81",5981,7,"M","M"
"187","U12","U66",5964,2,"M","M"
"188","U12","U38",5933,9,"M","M"
"189","U12","U68",5966,4,"F","M"
"190","U12","U77",5976,10,"M","M"
"191","U12","U46",5942,3,"M","M"
"192","U12","U7",5968,23,"M","M"
"193","U12","U179",5837,82,"F","M"
"194","U120","U22",6109,40,"M","F"
"195","U120","U136",6017,34,"F","F"
"196","U120","U146",6028,3,"M","F"
"197","U120","U172",6057,5,"M","F"
"198","U120","U181",6067,1,"M","F"
"199","U122","U61",6637,5,"M","F"
"200","U122","U190",6528,4,"M","F"
"201","U122","U174",6510,24,"M","F"
"202","U124","U36",7056,222,"M","F"
"203","U124","U131",6910,6,"M","F"
"204","U124","U202",6988,6,"M","F"
"205","U124","U226",7014,16,"M","F"
"206","U124","U54",7076,2,"M","F"
"207","U124","U91",7117,12,"F","F"
"208","U124","U58",7080,4,"M","F"
"209","U124","U7",7093,6,"M","F"
"210","U125","U34",7276,2,"M","M"
"211","U125","U135",7136,12,"F","M"
"212","U126","U175",7401,30,"M","F"
"213","U126","U68",7534,612,"F","F"
"214","U126","U51",7516,572,"M","F"
"215","U126","U18",7406,11,"M","F"
"216","U126","U251",7485,13,"M","F"
"217","U127","U77",7764,5,"M","M"
"218","U127","U133",7575,1,"M","M"
"219","U127","U60",7746,30,"M","M"
"220","U127","U137",7579,3,"F","M"
"221","U127","U46",7730,5,"M","M"
"222","U128","U156",7819,26,"M","M"
"223","U128","U238",7909,132,"F","M"
"224","U128","U129",7789,36,"F","M"
"225","U128","U185",7851,154,"F","M"
"226","U128","U55",7959,9,"F","M"
"227","U128","U56",7960,21,"F","M"
"228","U128","U180",7846,3,"M","M"
"229","U128","U195",7862,10,"M","M"
"230","U128","U225",7895,23,"M","M"
"231","U128","U170",7835,13,"M","M"
"232","U129","U49",8170,28,"M","F"
"233","U129","U185",8069,382,"F","F"
"234","U129","U155",8036,56,"M","F"
"235","U129","U55",8177,174,"F","F"
"236","U129","U225",8113,1,"M","F"
"237","U129","U180",8064,99,"M","F"
"238","U129","U156",8037,113,"M","F"
"239","U129","U89",8214,2,"F","F"
"240","U129","U85",8210,34,"M","F"
"241","U129","U56",8178,122,"F","F"
"242","U129","U8",8204,1,"M","F"
"243","U129","U170",8053,37,"M","F"
"244","U13","U15",8247,36,"F","M"
"245","U130","U137",8449,55,"F","M"
"246","U131","U91",8865,109,"F","M"
"247","U131","U200",8734,88,"F","M"
"248","U131","U58",8828,3,"M","M"
"249","U131","U214",8749,2,"F","M"
"250","U131","U14",8667,3,"M","M"
"251","U131","U59",8829,62,"F","M"
"252","U131","U152",8681,14,"M","M"
"253","U131","U41",8810,118,"M","M"
"254","U131","U53",8823,39,"M","M"
"255","U131","U197",8730,1,"M","M"
"256","U131","U48",8817,11,"M","M"
"257","U131","U220",8756,6,"M","M"
"258","U131","U78",8850,55,"M","M"
"259","U131","U153",8682,15,"M","M"
"260","U131","U132",8659,12,"M","M"
"261","U131","U64",8835,248,"F","M"
"262","U131","U24",8777,7,"F","M"
"263","U131","U196",8729,1,"F","M"
"264","U131","U25",8788,1,"M","M"
"265","U131","U36",8804,14,"M","M"
"266","U131","U54",8824,8,"M","M"
"267","U132","U152",8895,3,"M","M"
"268","U132","U137",8878,2,"F","M"
"269","U132","U32",9014,28,"M","M"
"270","U132","U7",9055,3,"M","M"
"271","U132","U237",8988,10,"F","M"
"272","U132","U41",9024,2,"M","M"
"273","U132","U164",8908,2,"M","M"
"274","U132","U45",9028,8,"F","M"
"275","U132","U200",8948,14,"F","M"
"276","U132","U84",9071,5,"F","M"
"277","U132","U72",9058,3,"F","M"
"278","U132","U44",9027,16,"F","M"
"279","U132","U148",8890,25,"F","M"
"280","U132","U52",9036,68,"F","M"
"281","U132","U213",8962,9,"M","M"
"282","U132","U59",9043,3,"F","M"
"283","U132","U165",8909,22,"F","M"
"284","U132","U78",9064,11,"M","M"
"285","U132","U91",9079,13,"F","M"
"286","U132","U139",8880,13,"F","M"
"287","U132","U64",9049,13,"F","M"
"288","U132","U153",8896,1,"M","M"
"289","U132","U63",9048,10,"M","M"
"290","U132","U178",8923,29,"M","M"
"291","U133","U137",9091,62,"F","M"
"292","U133","U164",9121,4,"M","M"
"293","U133","U159",9115,15,"M","M"
"294","U133","U60",9258,8,"M","M"
"295","U134","U60",9470,3,"M","F"
"296","U134","U26",9432,6,"F","F"
"297","U134","U155",9323,10,"M","F"
"298","U134","U144",9311,36,"M","F"
"299","U134","U167",9336,11,"M","F"
"300","U134","U176",9346,38,"M","F"
"301","U134","U77",9488,13,"M","F"
"302","U134","U6",9469,28,"F","F"
"303","U134","U206",9379,38,"M","F"
"304","U134","U190",9362,37,"M","F"
"305","U135","U152",9531,10,"M","F"
"306","U135","U8",9702,3,"M","F"
"307","U135","U163",9543,23,"M","F"
"308","U136","U22",9815,2,"M","F"
"309","U137","U5",10088,8,"M","F"
"310","U137","U4",10077,25,"M","F"
"311","U137","U45",10083,64,"F","F"
"312","U137","U213",10017,4,"M","F"
"313","U137","U60",10100,38,"M","F"
"314","U137","U164",9963,14,"M","F"
"315","U137","U84",10126,85,"F","F"
"316","U138","U45",10291,42,"F","M"
"317","U139","U22",10439,19,"M","F"
"318","U139","U7",10525,11,"M","F"
"319","U139","U220",10440,23,"M","F"
"320","U139","U242",10464,72,"F","F"
"321","U139","U198",10415,36,"F","F"
"322","U139","U43",10496,77,"M","F"
"323","U139","U5",10503,105,"M","F"
"324","U139","U44",10497,551,"F","F"
"325","U14","U78",10740,8,"M","M"
"326","U14","U37",10695,6,"M","M"
"327","U14","U64",10725,42,"F","M"
"328","U14","U63",10724,3,"M","M"
"329","U14","U53",10713,6,"M","M"
"330","U14","U54",10714,27,"M","M"
"331","U14","U23",10656,1,"M","M"
"332","U14","U59",10719,30,"F","M"
"333","U14","U58",10718,7,"M","M"
"334","U14","U41",10700,33,"M","M"
"335","U140","U36",10899,10,"M","M"
"336","U141","U98",11171,7,"F","M"
"337","U142","U229",11267,3,"M","F"
"338","U142","U191",11226,3,"M","F"
"339","U142","U235",11274,3,"M","F"
"340","U142","U201",11237,5,"M","F"
"341","U144","U206",11645,18,"M","M"
"342","U145","U184",11821,237,"F","M"
"343","U145","U234",11876,16,"F","M"
"344","U145","U30",11903,102,"F","M"
"345","U145","U62",11938,13,"M","M"
"346","U146","U90",12168,1,"F","M"
"347","U146","U230",12071,44,"F","M"
"348","U146","U52",12126,25,"F","M"
"349","U146","U22",12059,27,"M","M"
"350","U146","U44",12117,5,"F","M"
"351","U146","U179",12014,4,"F","M"
"352","U146","U148",11980,5,"F","M"
"353","U146","U231",12072,12,"M","M"
"354","U146","U149",11981,33,"F","M"
"355","U146","U27",12098,5,"M","M"
"356","U146","U74",12150,17,"F","M"
"357","U146","U35",12107,7,"F","M"
"358","U146","U19",12026,2,"F","M"
"359","U146","U160",11994,4,"M","M"
"360","U146","U32",12104,6,"M","M"
"361","U146","U198",12035,12,"F","M"
"362","U146","U192",12029,4,"M","M"
"363","U146","U208",12046,15,"F","M"
"364","U147","U186",12220,287,"F","M"
"365","U148","U179",12409,506,"F","F"
"366","U148","U7",12540,86,"M","F"
"367","U148","U31",12498,62,"M","F"
"368","U148","U29",12495,24,"F","F"
"369","U148","U76",12547,14,"M","F"
"370","U148","U28",12494,99,"M","F"
"371","U148","U38",12505,21,"M","F"
"372","U148","U51",12520,49,"M","F"
"373","U148","U63",12533,134,"M","F"
"374","U148","U32",12499,771,"M","F"
"375","U148","U50",12519,175,"M","F"
"376","U148","U208",12441,181,"F","F"
"377","U149","U44",12708,9,"F","F"
"378","U149","U27",12689,17,"M","F"
"379","U149","U164",12589,16,"M","F"
"380","U149","U198",12626,43,"F","F"
"381","U149","U22",12650,29,"M","F"
"382","U149","U230",12662,316,"F","F"
"383","U149","U150",12574,209,"F","F"
"384","U149","U3",12692,88,"M","F"
"385","U150","U220",13040,1,"M","F"
"386","U150","U4",13092,70,"M","F"
"387","U150","U5",13103,38,"M","F"
"388","U150","U3",13081,96,"M","F"
"389","U150","U164",12978,20,"M","F"
"390","U151","U76",13325,32,"M","M"
"391","U152","U41",13479,6,"M","M"
"392","U152","U153",13351,3,"M","M"
"393","U152","U163",13362,25,"M","M"
"394","U152","U48",13486,2,"M","M"
"395","U152","U3",13466,1,"M","M"
"396","U152","U200",13403,6,"F","M"
"397","U152","U91",13534,10,"F","M"
"398","U152","U64",13504,11,"F","M"
"399","U152","U78",13519,5,"M","M"
"400","U152","U59",13498,5,"F","M"
"401","U152","U73",13514,10,"F","M"
"402","U153","U200",13594,16,"F","M"
"403","U153","U202",13596,8,"M","M"
"404","U153","U48",13677,11,"M","M"
"405","U153","U59",13689,8,"F","M"
"406","U153","U226",13622,7,"M","M"
"407","U153","U7",13701,4,"M","M"
"408","U153","U36",13664,17,"M","M"
"409","U153","U64",13695,35,"F","M"
"410","U153","U91",13725,22,"F","M"
"411","U153","U78",13710,2,"M","M"
"412","U153","U54",13684,1,"M","M"
"413","U153","U41",13670,12,"M","M"
"414","U154","U65",13886,4,"F","M"
"415","U154","U77",13899,24,"M","M"
"416","U154","U69",13890,37,"F","M"
"417","U154","U208",13792,6,"F","M"
"418","U154","U46",13865,4,"M","M"
"419","U155","U85",14097,10,"M","M"
"420","U155","U185",13956,85,"F","M"
"421","U155","U65",14075,44,"F","M"
"422","U155","U246",14023,44,"F","M"
"423","U155","U238",14014,48,"F","M"
"424","U155","U177",13947,9,"F","M"
"425","U155","U89",14101,7,"F","M"
"426","U155","U55",14064,1,"F","M"
"427","U155","U160",13929,1,"M","M"
"428","U155","U40",14048,5,"M","M"
